Players,AB,R,HR,RBI,SB,AVG,VAL,AUC VAL,POS
Mike Moustakas 2B | CIN ,525,63.29261699,30.33470694,92.11766602,3.484457386,0.245,10.12942214,18,4
Brandon Nimmo CF | NYM,543,88,24,71,5,0.265,10.11049,9,7
Alex Kirilloff RF | MIN ,489,72,24,71,7,0.272,10.105752,11,7
Odubel Herrera CF | PHI ,549,74,18,78,9,0.255,10.05883,5,7
Yoan Moncada 3B | CHW ,565,80.74305622,20.40317524,71.59212143,7.595618425,0.258333333,10.04179231,20,5
J.D. Martinez DH | BOS,537,74,30,85,2,0.261,10.040626,24,7
Corey Dickerson LF | MIA ,597,75,26,81,4,0.265,10.01149,3,7
Miguel Rojas SS | MIA,548,65.36258856,11.85377895,66.46228988,12.95629501,0.28,9.898915698,2,6
Gregory Polanco RF | PIT ,544,59,25,71,10,0.21,9.89786,4,7
Austin Hays CF | BAL ,493,72,23,60,8,0.272,9.892752,4,7
Nick Solak LF | TEX ,483,70.75459908,12.72048754,61.9687964,12.25230985,0.2805,9.869879268,11,4
Amed Rosario SS | CLE,544,72.31528039,12.43369386,56.90892501,13.44866926,0.265,9.849493031,8,6
Myles Straw CF | HOU ,379,55,14,52,16,0.261,9.828626,7,7
Carlos Correa SS | HOU,552,75.20199005,25.24278607,91.40824449,2.030277186,0.260666667,9.817378132,20,6
Jorge Polanco SS | MIN,575,76.79375704,14.15872311,68.07617373,9.325869061,0.280333333,9.770623774,12,6
Kris Bryant 3B | CHC ,587,98.46685005,23.68420041,70.33245111,2.447373363,0.253666667,9.758511248,17,5
Paul DeJong SS | STL,558,80.75863265,21.34774075,84.48635676,4.521644775,0.241333333,9.746249276,12,6
Victor Reyes CF | DET ,471,65,3,47,20,0.261,9.739626,5,7
Ryan Mountcastle LF | BAL,495,66,24,76,5,0.279,9.736014,15,7
Salvador Perez C | KC,463,57.5572549,29.23254902,85.70039216,1.997254902,0.284,9.706126353,20,2
Jason Heyward RF | CHC,512,74,21,67,7,0.264,9.698024,3,7
David Dahl CF | TEX ,533,79,20,75,6,0.244,9.611704,9,7
Jeff McNeil LF | NYM,538,75.70122504,14.39854709,64.05541484,7.337429194,0.319333333,9.577367819,19,4
Jeff McNeil LF | NYM,538,75.70122504,14.39854709,64.05541484,7.337429194,0.319333333,9.577367819,19,5
Joey Wendle 3B | TB ,452,60.96289522,7.652101224,46.14604843,17.18906317,0.272333333,9.568843512,8,4
Joey Wendle 3B | TB,452,60.96289522,7.652101224,46.14604843,17.18906317,0.272333333,9.568843512,8,5
Joey Wendle 3B | TB,452,60.96289522,7.652101224,46.14604843,17.18906317,0.272333333,9.568843512,8,6
Brian Anderson 3B | MIA,564,76.44843913,22.03680588,83.46454415,2.685218419,0.263,9.472537952,9,5
Willy Adames SS | TB ,526,76.44635292,20.27383697,59.66739154,6.869051679,0.264,9.4618736,9,6
Randal Grichuk CF | TOR,435,73,26,74,2,0.271,9.401286,6,7
Garrett Cooper 1B | MIA ,541,82.0019685,24.1746063,80.582021,0,0.282,9.374760688,4,3
Hunter Renfroe RF | BOS,395,60,27,67,6,0.23,9.36818,7,7
Bryan Reynolds LF | PIT ,554,80,23,66,4,0.256,9.363296,6,7
Rio Ruiz 3B | BAL,510,68.91891892,24.81081081,88.21621622,2.756756757,0.222,9.319938487,1,5
Carlos Santana 1B | KC,505,84.74728064,23.73986787,77.68687051,1.77629228,0.236333333,9.298194416,16,3
J.D. Davis 3B | NYM ,556,82.11527599,23.69602054,66.44878049,2.034146341,0.277,9.287694837,12,5
Andrelton Simmons SS | MIN ,562,75.28010302,7.014422292,60.06418773,11.26347703,0.284333333,9.24420153,1,6
Josh Bell 1B | WAS,538,78.70818503,24.24343948,81.89917686,0.71590153,0.255,9.238507112,16,3
Dominic Smith 1B | NYM ,455,67,24,87,1,0.273,9.233218,19,7
Cedric Mullins CF | BAL ,418,57,17,52,11,0.266,9.210956,1,7
Yuli Gurriel 1B | HOU ,536,73.07915525,19.2261635,79.85494953,3.247487354,0.273333333,9.205885876,11,3
J.D. Davis 3B | NYM ,556,82,22,67,3,0.261,9.198626,12,7
Hunter Dozier 1B | KC ,529,75.18769739,20.8204908,58.27532306,6.112667183,0.245333333,9.127079162,9,3
Vladimir Guerrero 1B | TOR ,568,75.5198939,20.74664534,84.63999844,1.285067873,0.267,9.112257114,21,3
Avisail Garcia CF | MIL ,558,66,16,60,8,0.269,9.035354,5,7
Cesar Hernandez 2B | CLE,558,79.31873445,11.26132199,55.9903776,8.576616432,0.271666667,8.997781806,6,4
Freddy Galvis SS | BAL,568,66.44404565,21.30619377,66.3507511,5.218512055,0.242333333,8.949127728,1,4
Freddy Galvis SS | BAL,568,66.44404565,21.30619377,66.3507511,5.218512055,0.242333333,8.949127728,1,6
Austin Riley 3B | ATL ,506,70.15553657,27.3863954,81.57963193,0,0.2325,8.942986054,12,5
Gerardo Parra RF | WAS ,361,54,19,64,8,0.252,8.941432,5,7
Maikel Franco 3B | KC,541,60.84209224,23.51268106,85.01027597,1.225143867,0.260666667,8.891743474,4,5
Joey Votto 1B | CIN,552,83.85247935,20.52852532,62.74476813,2.48399129,0.257,8.853561815,9,3
Alec Bohm 3B | PHI,491,73.65,12.275,70.58125,3.06875,0.338,8.81181425,16,3
Alec Bohm 3B | PHI,491,73.65,12.275,70.58125,3.06875,0.338,8.81181425,16,5
Yasmani Grandal C | CHW ,491,70.10083546,23.71649164,70.53682105,2.134278457,0.239,8.758071944,17,2
Anderson Tejeda SS | TEX,324,30.24,12.96,34.56,17.28,0.253,8.695338,2,6
Rowdy Tellez 1B | TOR,411,63.58654628,26.21218608,71.81932552,0.555405405,0.255,8.660626855,6,3
Ryan Mountcastle LF | BAL,495,47.14285714,19.64285714,90.35714286,0,0.333,8.653106571,15,3
Orlando Arcia SS | MIL ,573,61.57085921,12.96637808,61.35818299,9.143163917,0.239666667,8.64143255,1,6
Jeff McNeil LF | NYM,538,80,10,79,3,0.294,8.640004,19,7
Lorenzo Cain CF | MIL ,466,61,10,44,12,0.266,8.636956,12,7
Willson Contreras C | CHC ,476,72.92094077,19.80171902,68.11051727,2.619206126,0.254666667,8.631123099,19,2
Ji-Man Choi 1B | TB ,495,65.0815779,20.38792904,74.78247648,2.541720154,0.251333333,8.608654935,1,3
Adam Haseley CF | PHI,502,67,13,70,6,0.261,8.604626,5,7
Jonathan Schoop 2B | DET ,493,70.71846462,24.14023175,66.91620932,0.726950476,0.255666667,8.570451427,6,4
Steven Souza RF | HOU ,378,58,18,61,6,0.262,8.561092,5,7
Josh Reddick RF | HOU,524,68,17,64,4,0.269,8.503354,5,7
Jared Oliva LF | PIT,460,56,17,54,8,0.243,8.445238,5,7
Robbie Grossman LF | DET ,410,52,12,42,12,0.256,8.421296,4,7
Jeimer Candelario 1B | DET ,542,73.23902465,17.51904769,63.67861769,3.600052887,0.241666667,8.383362691,11,3
Jeimer Candelario 1B | DET ,542,73.23902465,17.51904769,63.67861769,3.600052887,0.241666667,8.383362691,11,5
JaCoby Jones CF | DET,438,62,17,55,6,0.258,8.375228,1,7
Nico Hoerner 2B | CHC ,431,73.8287037,8.288461538,72.90776353,5.986111111,0.252,8.365127156,4,5
Yasmani Grandal C | CHW ,448,72.56208145,18.59514176,71.63308766,1.614794403,0.24,8.28440211,17,3
Oscar Mercado CF | CLE,379,54,12,45,11,0.24,8.23084,6,7
Josh Naylor LF | CLE,498,68,15,57,5,0.259,8.227694,3,7
Cristian Pache LF | ATL ,389,58,18,59,5,0.249,8.193034,8,7
Daniel Vogelbach 1B | MIL,448,66.55915679,26.23241107,68.01370224,0,0.2085,8.133620552,1,3
Niko Goodrum SS | DET ,374,45.25632136,11.9742832,43.92438345,12.42921915,0.225333333,8.105338887,2,6
David Bote 3B | CHC ,376,50.14781078,15.65567819,68.51489013,6.117018415,0.232,8.100367759,1,4
David Bote 3B | CHC ,376,50.14781078,15.65567819,68.51489013,6.117018415,0.232,8.100367759,1,5
Michael Chavis 1B | BOS ,385,48,20,61,5,0.236,8.038976,2,7
Adam Frazier 2B | PIT ,529,65,16,53,5,0.249,8.034034,1,7
Dylan Carlson RF | STL ,387,53,17,56,6,0.243,8.016238,14,7
Nico Hoerner 2B | CHC ,431,75.82407407,0,51.87962963,11.97222222,0.222,7.977303851,4,4
Adam Duvall LF | MIA,463,60,23,62,2,0.218,7.945588,5,7
Daniel Johnson RF | CLE,401,56,17,55,5,0.249,7.925034,5,7
Starlin Castro 2B | WAS,548,70.34130333,16.10400585,53.5120515,2.422652822,0.271666667,7.889984407,5,4
Adam Frazier 2B | PIT ,529,72.85908229,14.63388665,54.72742125,2.989663574,0.261666667,7.888796665,1,4
Gary Sanchez C | NYY,397,57.73111343,27.21947185,67.80459413,0.409700722,0.188333333,7.875536015,18,2
Christian Vazquez C | BOS,432,51.79890535,14.41907443,49.83416498,6.819321233,0.255333333,7.82826828,12,2
Nate Lowe 1B | TEX ,381,58.51178319,20.14616064,55.0886194,2.843283582,0.2435,7.818278492,6,3
James McCann C | NYM,425,59.50214865,18.68620016,54.20851335,2.751293552,0.260666667,7.811174726,12,2
Colin Moran 3B | PIT ,489,60.97636133,18.0249956,71.82535326,0,0.267,7.80602131,3,3
Colin Moran 3B | PIT ,489,60.97636133,18.0249956,71.82535326,0,0.267,7.80602131,3,5
Scott Kingery 2B | PHI,385,52,13,40,9,0.239,7.713374,9,7
Andrew Stevenson LF | WAS,323,48,16,49,5,0.269,7.594354,1,7
Brett Gardner LF | NYY ,306,52,16,47,5,0.261,7.584626,1,7
Michael Chavis 1B | BOS ,385,46.6146224,16.57805653,57.22716237,5.064989539,0.233,7.55532498,2,4
Mitch Garver C | MIN ,414,63.75866499,20.78763584,59.87615078,0,0.236,7.537423426,12,2
Tyler O'Neill LF | STL ,322,49,17,50,5,0.233,7.441578,5,7
Yadier Molina C | STL,454,46.91074504,14.38053173,61.68392934,3.485873444,0.264333333,7.436036226,9,2
Franchy Cordero RF | BOS ,322,51,10,50,7,0.248,7.368568,3,7
Lewis Brinson RF | MIA,319,45,13,43,7,0.254,7.324364,1,7
Isiah Kiner-Falefa 3B | TEX,427,52.6411595,4.092475717,32.31402797,11.26557881,0.259,7.294202916,6,5
Isiah Kiner-Falefa 3B | TEX,427,52.6411595,4.092475717,32.31402797,11.26557881,0.259,7.294202916,6,6
Tyrone Taylor RF | MIL ,319,46,18,45,4,0.251,7.255966,1,7
Kyle Higashioka C | NYY,317,45.75744048,21.69940476,64.1547619,0,0.232,7.191309916,1,2
Jorge Alfaro C | MIA,388,43.05048971,13.33312504,53.26615712,5.109578342,0.25,7.18491218,9,2
Adam Engel RF | CHW,318,46,15,47,4,0.267,7.167422,1,7
Nick Madrigal 2B | CHW ,464,36.03883495,0,49.55339806,9.009708738,0.34,7.162556505,17,4
Joc Pederson LF | CHC ,372,54,20,49,2,0.223,7.154918,9,7
Yoshitomo Tsutsugo LF | TB ,314,50,17,47,3,0.239,7.034374,2,7
Matt Joyce RF | PHI,373,54,14,47,3,0.257,7.020762,1,7
Pedro Severino C | BAL,395,44.94339139,14.58990779,54.41367828,3.176997951,0.2495,7.000472943,9,2
Andrew Benintendi LF | KC,368,46,10,43,7,0.242,6.969772,11,7
Josh Naylor LF | CLE,498,61.912636,10.4405281,46.896133,3.551200033,0.248,6.946671949,3,3
Pat Valaika SS | BAL,331,56.34042553,18.78014184,37.56028369,0,0.277,6.8335359,1,6
Yan Gomes C | WAS,390,48.37589985,14.90008539,48.79100589,2.020686028,0.257666667,6.803991502,4,2
Luis Arraez 2B | MIN ,466,71.88080631,2.858895706,47.0569128,1.429447853,0.3275,6.776434621,4,4
Kevin Newman SS | PIT ,423,42.43860197,6.503842253,41.01408176,6.864097363,0.266,6.656264473,4,6
Enrique Hernandez 2B | BOS,337,50.35147534,14.52164801,48.05928893,1.923654673,0.241,6.643984011,6,4
Roberto Perez C | CLE,398,41.31984317,14.50109865,53.3516968,1.111731844,0.239,6.354298301,1,2
Wilson Ramos C | DET,376,38.04870733,13.04426619,55.54947724,0.264975335,0.277333333,6.341407439,9,2
Sam Huff C | TEX ,189,30.48387097,18.29032258,24.38709677,0,0.355,6.315978387,9,2
Erik Gonzalez SS | PIT ,465,35.96685083,7.70718232,51.38121547,5.138121547,0.227,6.20697537,1,6
Martin Maldonado C | HOU,385,49.20768669,13.42484307,48.35873675,0.950617284,0.217666667,6.124250988,1,2
Tucker Barnhart C | CIN,397,41.28830321,14.23505236,47.53880995,0.418776371,0.227666667,5.925262481,1,2
Jose Trevino C | TEX ,387,54.48552632,8.317105263,43.87697368,0,0.254,5.784684395,1,2
Mike Zunino C | TB,385,40.89268927,18.06769359,47.68822413,0,0.171,5.714895686,1,2
Omar Narvaez C | MIL,375,41.05164911,12.7579056,41.03001533,0,0.243,5.636849395,5,2
Jacob Stallings C | PIT ,372,44.66337173,10.30693194,39.44368586,0,0.255,5.566786272,1,2
Travis Shaw 3B | MIL ,317,36.61698677,13.89533855,36.61883183,1.060910308,0.212333333,5.439796622,2,5
Luis Urias 3B | MIL ,381,43.14802646,3.544186047,40.48988692,3.495412844,0.2305,5.409148545,2,5
Danny Jansen C | TOR,303,42.04668054,12.57460241,39.32449212,0,0.212333333,5.339390631,7,2
Carter Kieboom 3B | WAS ,514,77.87878788,0,46.72727273,0,0.202,5.323707758,6,5
Francisco Mejia C | TB ,255,28.89301517,11.34363148,30.62579014,0.564159292,0.2225,4.788863572,9,2
Nicky Lopez 2B | KC,435,44.55539336,2.434739504,33.94712807,0.573878628,0.2205,4.48696736,1,4
Isaac Paredes 3B | DET ,463,32.41,4.63,27.78,0,0.22,4.04325,2,5
